canonical_question_id,ai_suggested_chapter,ai_suggested_subtopic,ai_suggested_question_pattern,ai_suggested_difficulty,ai_suggested_ncert_heading,ai_suggested_micro_concept,micro_concept_confidence,micro_concept_note,llm_label,rule_label,embedding_label,bm25_label,final_confidence,review_reason,taxonomy_mismatch_reason,question_text
cq_000737_f49de07d7f,Staffing,Compensation and Benefits,definition-based,easy,Compensation And Benefits,Compensation and Benefits,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Staffing :: Compensation and Benefits,Staffing :: staffing process,Staffing :: staffing process,Staffing :: staffing process,0.35,confidence=0.35; agreement=1/4; taxonomy mismatch: subtopic not allowed for chapter: Compensation and Benefits; taxonomy mismatch: subtopic not allowed for chapter: Compensation and Benefits; taxonomy mismatch: subtopic not allowed for chapter: Compensation and Benefits; taxonomy mismatch: subtopic not allowed for chapter: Compensation and Benefits; taxonomy mismatch: subtopic not allowed for chapter: Compensation and Benefits; taxonomy mismatch: subtopic not allowed for chapter: Compensation and Benefits; taxonomy mismatch: subtopic not allowed for chapter: Compensation and Benefits; taxonomy mismatch: subtopic not allowed for chapter: Compensation and Benefits,subtopic not allowed for chapter: Compensation and Benefits,Identify the types of direct financial payment from the options given below?
cq_000739_57ce8e63e9,Organising,organisation structure,definition-based,easy,Organisation Structure,organisation structure,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Organising :: organisation structure,Nature and Significance of Management :: functions of management,Organising :: organisation structure,Organising :: organisation structure,0.71,confidence=0.71; agreement=3/4; taxonomy mismatch: micro_concept not allowed for chapter: organising; taxonomy mismatch: micro_concept not allowed for chapter: organising; taxonomy mismatch: micro_concept not allowed for chapter: organising; taxonomy mismatch: micro_concept not allowed for chapter: organising; taxonomy mismatch: micro_concept not allowed for chapter: organising; taxonomy mismatch: micro_concept not allowed for chapter: organising,,Organizational structure is the outcome of which process?
cq_000740_a831af02c1,Principles of Management,Fayol principles,principle-identification,easy,Fayol Principles,Fayol principles,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Principles of Management :: Fayol principles,Principles of Management :: Fayol principles,Principles of Management :: Fayol principles,Principles of Management :: Fayol principles,0.85,taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation,,Which of the following principles emphasizes minimizing waste and improving efficiency?
cq_000744_c8e74a0619,Marketing,marketing mix,match-the-following,medium,Marketing Mix,marketing mix,0.82,,Marketing :: marketing mix,Marketing :: marketing mix,Marketing :: product,Marketing :: product,0.62,confidence=0.62; agreement=2/4,,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Four Ps of marketing | Explanation |
| (A) Place | (I) It includes activities that communicate the availability, features, merits, etc., of the products to the target customers and persuade them to buy them. |
| (B) Price | (II) 'Anything of value' which is offered to the market for sale. |
| (C) Promotion | (III) The amount of money customers have to pay to obtain the product. |
| (D) Product | (IV) It includes activities that make the firm's products available to the target customers. |

Choose the correct answer from the options given below:"
cq_000745_4c5330083c,Business Finance,financing decision,definition-based,easy,Financing Decision,financial risk,0.82,,Business Finance :: financing decision,Business Finance :: financing decision,Business Finance :: working capital,Business Finance :: working capital,0.56,confidence=0.56; agreement=2/4,,Which among the following refers to the increase in profit earned by the equity shareholders due to the presence of fixed financial charges?
cq_000746_e94d8d1b7e,Principles of Management,Fayol principles,principle-identification,easy,Fayol Principles,Fayol principles,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Principles of Management :: Fayol principles,Principles of Management :: Fayol principles,Principles of Management :: Fayol principles,Principles of Management :: Fayol principles,0.99,taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation,,Which of the following principles emphasizes that subordinates should report to one and only one superior?
cq_000748_b99855f4c9,Directing,communication,feature-identification,easy,Communication,communication,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Organisation and Management :: Formal Organization,Directing :: communication,Directing :: communication,Directing :: communication,0.55,confidence=0.55; agreement=3/4; taxonomy mismatch: micro_concept not allowed for chapter: scalar chain; taxonomy mismatch: micro_concept not allowed for chapter: scalar chain; taxonomy mismatch: micro_concept not allowed for chapter: scalar chain; taxonomy mismatch: micro_concept not allowed for chapter: scalar chain; taxonomy mismatch: micro_concept not allowed for chapter: scalar chain; taxonomy mismatch: micro_concept not allowed for chapter: scalar chain,,"Which of the following are the characteristics of Formal Organization?

(A) It is directed by rules.

(B) Communication takes place through the scalar chain

(C) Arises as a result of company rules and policies

(D) Leaders may or may not be managers. They are chosen by the group.

Choose the correct answer from the options given below:"
cq_000749_59a3adb0ba,Principles of Management,nature of principles,feature-identification,easy,Nature Of Principles,nature of principles,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Principles of Management :: nature of principles,Planning :: limitations,Principles of Management :: nature of principles,Principles of Management :: nature of principles,0.69,confidence=0.69; agreement=3/4; taxonomy mismatch: micro_concept not allowed for chapter: entrepreneur characteristics; taxonomy mismatch: micro_concept not allowed for chapter: entrepreneur characteristics; taxonomy mismatch: micro_concept not allowed for chapter: entrepreneur characteristics; taxonomy mismatch: micro_concept not allowed for chapter: entrepreneur characteristics; taxonomy mismatch: micro_concept not allowed for chapter: entrepreneur characteristics; taxonomy mismatch: micro_concept not allowed for chapter: entrepreneur characteristics,,"Which of the following are the basic features of Science?

(A) Systematized body of knowledge
(B) Universal validity
(C) Based on practice and creativity
(D) Principles based on experimentation

Choose the correct answer from the options given below:"
cq_000754_d434d74cb9,Business Finance,financial planning,definition-based,easy,Financial Planning,financial planning,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Business Finance :: Financial Planning,Business Finance :: financial planning,Business Finance :: financial planning,Business Finance :: financial planning,0.74,confidence=0.74; agreement=3/4; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,Which among the following aims at smooth operations by focusing on fund requirements and their availability in the light of financial decisions?
cq_000755_c5fe35978c,Entrepreneurship Development,need and characteristics,match-the-following,medium,Need And Characteristics,need and characteristics,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Entrepreneurship Development :: need and characteristics,Entrepreneurship Development :: competencies and values,Entrepreneurship Development :: need and characteristics,Entrepreneurship Development :: need and characteristics,0.87,taxonomy mismatch: micro_concept not allowed for chapter: desire; taxonomy mismatch: micro_concept not allowed for chapter: desire; taxonomy mismatch: micro_concept not allowed for chapter: desire; taxonomy mismatch: micro_concept not allowed for chapter: desire; taxonomy mismatch: micro_concept not allowed for chapter: desire; taxonomy mismatch: micro_concept not allowed for chapter: desire,,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Entrepreneurial Motivation | Explanation |
| --- | --- |
| (A) Need for Affiliation(N-Aff.) | (I) It is a desire for independence and being responsible and accountable to oneself |
| (B) Need for Achievement (N-Ach.) | (II) It is concerned about influencing people or the behavior of others for moving in thechosen direction. |
| (C) Need for Autonomy(N-Aut.) | (III) Desire to carry on the tradition of business in the family and the community towhich one belongs. |
| (D) Need for Power(N-Pow) | (IV) It implies a desire to accomplish something difficult. |

Choose the correct answer from the options given below:"
cq_000756_0cdea13a75,Nature and Significance of Management,functions of management,definition-based,easy,Functions Of Management,management,0.82,,Nature and Significance of Management :: functions of management,Nature and Significance of Management :: functions of management,Planning :: meaning and features,Planning :: meaning and features,0.59,confidence=0.59; agreement=2/4,,"Which function of management is considered as the ""thinking function""?"
cq_000757_c808b57243,Financial Management,Leverage Ratios,definition-based,easy,Leverage Ratios,Leverage Ratios,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Financial Management :: Leverage Ratios,Consumer Protection :: consumer rights,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,0.36,confidence=0.36; agreement=1/4; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter,unknown chapter,The formula to compute the Interest Coverage ratio is:
cq_000758_984b1efba6,Staffing,staffing process,match-the-following,medium,Staffing Process,recruitment,0.82,,Staffing :: staffing process,Staffing :: staffing process,Organising :: organisation structure,Organising :: organisation structure,0.59,confidence=0.59; agreement=2/4,,"Match ListâI with ListâII

 | ListâI (Staffing and its Aspects) | ListâII (Explanation) |
| --------------------------------- | -------------------------------------------------------------------------------------------------- |
| (A) Selection | (I) Identification and attraction |
| (B) Staffing | (II) Acquainting and skill development |
| (C) Recruitment | (III) Assessment, evaluation and final match |
| (D) Training | (IV) Managerial function of filling and keeping filled the positions in the organisation structure |

Choose the correct answer from the options given below:"
cq_000761_395f387de5,Functions of Management,Staffing,definition-based,easy,Staffing,Staffing,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Functions of Management :: Staffing,Nature and Significance of Management :: functions of management,Controlling :: relationship with planning,Controlling :: relationship with planning,0.35,confidence=0.35; agreement=1/4; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter,unknown chapter,"Which of the following is concerned with obtaining, utilizing and maintaining a satisfactory and satisfied work force?"
cq_000764_3a12576f22,Business Finance,fixed capital,definition-based,easy,Fixed Capital,financial risk,0.82,,Business Finance :: Capital Structure,Business Finance :: financing decision,Business Finance :: fixed capital,Business Finance :: fixed capital,0.54,confidence=0.54; agreement=2/4,,Which concept of financial management affects both the profitability and the financial risk?
cq_000765_9b958e5830,Marketing,pricing,feature-identification,medium,Pricing,pricing,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Marketing :: pricing,Marketing :: marketing meaning,Marketing :: pricing,Marketing :: pricing,0.92,taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,Which of the following is not a factor affecting price determination?
cq_000771_5682d74405,Marketing,product classification,definition-based,easy,Product Classification,product classification,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Marketing :: product classification,Marketing :: marketing mix,Consumer Protection :: importance,Consumer Protection :: importance,0.35,confidence=0.35; agreement=1/4; taxonomy mismatch: subtopic not allowed for chapter: product classification; micro_concept not allowed for chapter: products; taxonomy mismatch: subtopic not allowed for chapter: product classification; micro_concept not allowed for chapter: products; taxonomy mismatch: subtopic not allowed for chapter: product classification; micro_concept not allowed for chapter: products; taxonomy mismatch: subtopic not allowed for chapter: product classification; micro_concept not allowed for chapter: products; taxonomy mismatch: subtopic not allowed for chapter: product classification; micro_concept not allowed for chapter: products; taxonomy mismatch: subtopic not allowed for chapter: product classification; micro_concept not allowed for chapter: products; taxonomy mismatch: subtopic not allowed for chapter: product classification; micro_concept not allowed for chapter: product classification; taxonomy mismatch: subtopic not allowed for chapter: product classification; micro_concept not allowed for chapter: product classification,subtopic not allowed for chapter: product classification; micro_concept not allowed for chapter: product classification,"Which of the following are classified as Consumer Products on the basis of shopping efforts involved?
(A) Shopping Products
(B) Specialty Products
(C) Capital items
(D) Convenience Products

Choose the correct answer from the options given below:"
cq_000772_4643d5116f,Planning,planning process,chronology/process order,easy,Planning Process,planning process,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Planning :: planning process,Marketing :: marketing mix,Planning :: planning process,Planning :: planning process,0.78,taxonomy mismatch: micro_concept not allowed for chapter: price mix; taxonomy mismatch: micro_concept not allowed for chapter: price mix; taxonomy mismatch: micro_concept not allowed for chapter: price mix; taxonomy mismatch: micro_concept not allowed for chapter: price mix; taxonomy mismatch: micro_concept not allowed for chapter: price mix; taxonomy mismatch: micro_concept not allowed for chapter: price mix,,"Arrange the following steps of the planning process adopted by XYZ Ltd. in the correct sequence.

(A) XYZ Ltd. has decided to increase their sales by 20% in the financial year 2025-26.
(B) After carefully considering the alternatives, they have decided to try selling their products through e-commerce websites.
(C) After registering with the e-commerce websites, the plan will become operational.
(D) XYZ Ltd. has identified three options: increase in price, use of social media influencers for promotion and selling through e-commerce websites.

Choose the correct answer from the options given below:"
cq_000774_07d4621d37,Controlling,control process,definition-based,easy,Control Process,control process,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Controlling :: control process,Controlling :: control process,Controlling :: control process,Controlling :: control process,0.92,taxonomy mismatch: micro_concept not allowed for chapter: training; taxonomy mismatch: micro_concept not allowed for chapter: training; taxonomy mismatch: micro_concept not allowed for chapter: training; taxonomy mismatch: micro_concept not allowed for chapter: training; taxonomy mismatch: micro_concept not allowed for chapter: training; taxonomy mismatch: micro_concept not allowed for chapter: training,,What corrective action did Aditi take for the quality control team?
cq_000775_5659bdf6a1,Marketing,marketing meaning,definition-based,easy,Marketing Meaning,marketing,0.82,,Marketing :: marketing meaning,Marketing :: marketing meaning,Controlling :: control process,Controlling :: control process,0.47,confidence=0.47; agreement=2/4,,What did Aditi first introduce to address the problems?
cq_000776_5cf8b6b74b,Controlling,control process,definition-based,easy,Control Process,control process,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Controlling :: control process,Controlling :: control process,Controlling :: control process,Controlling :: control process,0.99,taxonomy mismatch: micro_concept not allowed for chapter: performance; taxonomy mismatch: micro_concept not allowed for chapter: performance; taxonomy mismatch: micro_concept not allowed for chapter: performance; taxonomy mismatch: micro_concept not allowed for chapter: performance; taxonomy mismatch: micro_concept not allowed for chapter: performance; taxonomy mismatch: micro_concept not allowed for chapter: performance,,"""Aditi also implemented a weekly review system where the team could assess their performance against the standards"". Which step of management function is highlighted in these lines?"
cq_000777_c230ebe8bc,Controlling,control process,definition-based,easy,Control Process,control process,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Controlling :: control process,Controlling :: meaning and importance,Controlling :: control process,Controlling :: control process,0.92,taxonomy mismatch: micro_concept not allowed for chapter: training; taxonomy mismatch: micro_concept not allowed for chapter: training; taxonomy mismatch: micro_concept not allowed for chapter: training; taxonomy mismatch: micro_concept not allowed for chapter: training; taxonomy mismatch: micro_concept not allowed for chapter: training; taxonomy mismatch: micro_concept not allowed for chapter: training,,"""When it was found that the quality control team was understaffed, Aditi hired additional inspectors and provided training"". Which step of management function is highlighted in these lines?"
cq_000779_6507bab938,Directing,motivation,definition-based,easy,Motivation,motivation,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Directing :: Motivation,Directing :: motivation,Directing :: motivation,Directing :: motivation,0.68,confidence=0.68; agreement=3/4; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation,,"""Rahul implemented a reward system where employees exceeding their targets would receive incentives"". Which concept of management is highlighted here?"
cq_000780_5a6c44c730,Staffing,training and development,definition-based,easy,Training And Development,training,0.82,,Staffing :: training and development,Staffing :: training and development,Business Finance :: working capital,Business Finance :: working capital,0.33,confidence=0.33; agreement=2/4,,What motivational tool did Rahul implement?
cq_000781_e3bc85679f,Directing,communication,definition-based,easy,Communication,communication,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Directing :: communication,Nature and Significance of Management :: functions of management,Directing :: communication,Directing :: communication,0.75,taxonomy mismatch: micro_concept not allowed for chapter: centralisation/decentralisation; taxonomy mismatch: micro_concept not allowed for chapter: centralisation/decentralisation; taxonomy mismatch: micro_concept not allowed for chapter: centralisation/decentralisation; taxonomy mismatch: micro_concept not allowed for chapter: centralisation/decentralisation; taxonomy mismatch: micro_concept not allowed for chapter: centralisation/decentralisation; taxonomy mismatch: micro_concept not allowed for chapter: centralisation/decentralisation,,"""Rahul identified that there was a lack of proper communication between the marketing and production teams"". Which element of directing is highlighted here?"
cq_000782_0616bb7a5f,Directing,supervision,definition-based,easy,Supervision,supervision,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Directing :: supervision,Principles of Management :: Fayol principles,Directing :: supervision,Directing :: supervision,0.66,confidence=0.66; agreement=3/4; taxonomy mismatch: micro_concept not allowed for chapter: discipline; taxonomy mismatch: micro_concept not allowed for chapter: discipline; taxonomy mismatch: micro_concept not allowed for chapter: discipline; taxonomy mismatch: micro_concept not allowed for chapter: discipline; taxonomy mismatch: micro_concept not allowed for chapter: discipline; taxonomy mismatch: micro_concept not allowed for chapter: discipline,,What is the main purpose of supervision?
cq_000785_d16946d77b,Staffing,staffing process,definition-based,easy,Staffing Process,recruitment,0.82,,Staffing :: Performance Appraisal,Staffing :: staffing process,Staffing :: staffing process,Staffing :: staffing process,0.66,confidence=0.66; agreement=3/4,,Evaluating an employee's current and/or past performance as against certain predetermined standards is known as:
cq_000787_531815628d,Nature and Significance of Management,meaning and objectives,definition-based,easy,Meaning And Objectives,meaning and objectives,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Nature and Significance of Management :: meaning and objectives,Planning :: types of plans,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,0.89,taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,"A strategy (comprehensive plan) includes which of the following dimensions?
(A) Determining long term objectives
(B) Determining short term objectives
(C) Adopting a particular course of action
(D) Allocating resources necessary to achieve the objective

Choose the correct answer from the options given below:"
cq_000790_4a26bbacea,Business Finance,financing decision,definition-based,easy,Financing Decision,financial risk,0.82,,Business Finance :: financing decision,Business Finance :: financing decision,Business Finance :: investment decision,Business Finance :: investment decision,0.51,confidence=0.51; agreement=2/4,,The number of times earnings before interest and taxes of a company covers the interest obligation is indicated by which ratio?
cq_000797_145294a900,Controlling,control process,chronology/process order,easy,Control Process,control process,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Controlling :: control process,Controlling :: meaning and importance,Controlling :: control process,Controlling :: control process,0.92,taxonomy mismatch: micro_concept not allowed for chapter: performance; taxonomy mismatch: micro_concept not allowed for chapter: performance; taxonomy mismatch: micro_concept not allowed for chapter: performance; taxonomy mismatch: micro_concept not allowed for chapter: performance; taxonomy mismatch: micro_concept not allowed for chapter: performance; taxonomy mismatch: micro_concept not allowed for chapter: performance,,"The process of controlling involves which of the following steps?
(A) Setting performance standards
(B) Measurement of actual performance
(C) Comparison of actual performance with standards
(D) Analysis of deviations and taking corrective action.

Choose the correct answer from the options given below:"
cq_000798_9ee5fb5deb,Entrepreneurship Development,entrepreneurship in India,feature-identification,easy,Entrepreneurship In India,entrepreneurship in India,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Entrepreneurship Development :: entrepreneurship in India,Directing :: motivation,Entrepreneurship Development :: entrepreneurship in India,Entrepreneurship Development :: entrepreneurship in India,0.78,taxonomy mismatch: micro_concept not allowed for chapter: india; taxonomy mismatch: micro_concept not allowed for chapter: india; taxonomy mismatch: micro_concept not allowed for chapter: india; taxonomy mismatch: micro_concept not allowed for chapter: india; taxonomy mismatch: micro_concept not allowed for chapter: india; taxonomy mismatch: micro_concept not allowed for chapter: india,,"""To become a chartered accountant in India, a candidate has to clear a specified examination conducted by the Institute of Chartered Accountants of India."" Which characteristic of a profession is highlighted here?"
cq_000800_d09be49aa3,Principles of Management,techniques of scientific management,match-the-following,medium,Techniques Of Scientific Management,techniques of scientific management,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Principles of Management :: Techniques of Scientific Management,Principles of Management :: techniques of scientific management,Principles of Management :: techniques of scientific management,Principles of Management :: techniques of scientific management,0.84,taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| (A) Fatigue study | (I) This study refers to finding out one best way of doing the job. |
| (B) Method Study | (II) This study refers to the study of movements like lifting, putting objects, sitting and changing positions. |
| (C) Time study | (III) The objective of this study is to determine the number of workers to be employed. |
| (D) Motion Study | (IV) This study seeks to determine the amount and frequency of rest intervals in completing a task. |

Choose the correct answer from the options given below:"
cq_000801_0110df0efc,Financial Management,Current Assets,definition-based,easy,Current Assets,Current Assets,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Financial Management :: Current Assets,Marketing :: marketing meaning,Entrepreneurship Development :: concept and functions,Entrepreneurship Development :: concept and functions,0.35,confidence=0.35; agreement=1/4; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter,unknown chapter,Identify the asset which can be easily converted into cash.
cq_000803_54afa7111a,Organising,formal and informal organisation,definition-based,easy,Formal And Informal Organisation,formal/informal organisation,0.82,,Organising :: formal and informal organisation,Principles of Management :: Fayol principles,Organising :: formal and informal organisation,Organising :: formal and informal organisation,0.74,confidence=0.74; agreement=3/4,,"""Formal organization is a system of consciously coordinated activities of two or more persons toward a common objective"". This definition of formal organization is given by:"
cq_000804_04dc4968b3,Principles of Management,Fayol principles,statement true/false,easy,Fayol Principles,Fayol principles,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Principles of Management :: Fayol principles,Principles of Management :: Fayol principles,Principles of Management :: Fayol principles,Principles of Management :: Fayol principles,0.72,confidence=0.72; agreement=4/4; taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk,,"""A manager should replace 'I' with 'We' in all his conversations with workers to foster team spirit"".
Which Principle of Management is related to this statement?"
cq_000807_4779a63075,Directing,communication,principle-identification,easy,Communication,communication,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Directing :: principles of directing,Directing :: meaning and importance,Directing :: communication,Directing :: communication,0.42,confidence=0.42; agreement=2/4; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,Which among the following is NOT the principle of directing?
cq_000809_be13c0e025,Entrepreneurship Development,need and characteristics,chronology/process order,easy,Need And Characteristics,need and characteristics,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Entrepreneurship Development :: need and characteristics,Directing :: motivation,Entrepreneurship Development :: need and characteristics,Entrepreneurship Development :: need and characteristics,0.82,taxonomy mismatch: micro_concept not allowed for chapter: tension; taxonomy mismatch: micro_concept not allowed for chapter: tension; taxonomy mismatch: micro_concept not allowed for chapter: tension; taxonomy mismatch: micro_concept not allowed for chapter: tension; taxonomy mismatch: micro_concept not allowed for chapter: tension; taxonomy mismatch: micro_concept not allowed for chapter: tension,,"Arrange the steps of motivation process in the correct sequence.

(A) Drives & Search Behavior

(B) Satisfied Need & Reduction of Tension

(C) Unsatisfied Need

(D) Tension

Choose the correct answer from the options given below:"
cq_000814_0d5e99952d,Business Finance,current assets,definition-based,easy,Current Assets,current assets,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Business Finance :: current assets,Business Finance :: financing decision,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,0.36,confidence=0.36; agreement=1/4; taxonomy mismatch: subtopic not allowed for chapter: current assets; taxonomy mismatch: subtopic not allowed for chapter: current assets; taxonomy mismatch: subtopic not allowed for chapter: current assets; taxonomy mismatch: subtopic not allowed for chapter: current assets; taxonomy mismatch: subtopic not allowed for chapter: current assets; taxonomy mismatch: subtopic not allowed for chapter: current assets; taxonomy mismatch: subtopic not allowed for chapter: current assets; micro_concept not allowed for chapter: current assets; taxonomy mismatch: subtopic not allowed for chapter: current assets; micro_concept not allowed for chapter: current assets,subtopic not allowed for chapter: current assets; micro_concept not allowed for chapter: current assets,Which among the following is NOT the current asset?
cq_000815_98977cf630,Business Environment,dimensions,definition-based,easy,Dimensions,dimensions,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Business Environment :: Dimensions of Business Environment,Business Environment :: dimensions,Business Environment :: dimensions,Business Environment :: dimensions,0.68,confidence=0.68; agreement=3/4; taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk,,"Which of the following are components of the economic environment?

(A) Saving and investment rate
(B) Technological conditions
(C) Money supply
(D) Public debt

Choose the correct answer from the options given below:"
cq_000816_a94cd5e876,Business Environment,dimensions,definition-based,easy,Dimensions,dimensions,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Business Environment :: dimensions,Business Environment :: dimensions,Business Environment :: dimensions,Business Environment :: dimensions,0.95,taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk,,Identify the component of social environment from the following:
cq_000819_ed23426d53,Planning,types of plans,statement true/false,easy,Types Of Plans,types of plans,0.82,,Planning :: types of plans,Planning :: types of plans,Planning :: types of plans,Planning :: types of plans,0.72,confidence=0.72; agreement=4/4,,"An expected statement of expenses, revenue and income for a specified period is known as:"
