source,year,date,shift,set_name,question_id,question_number,question_text,passage_text,case_text,option_a,option_b,option_c,option_d,correct_option,answer_source,question_type,difficulty_estimate,unit,chapter,subtopic,ncert_keyword_match,repeated_concept_cluster,confidence_score,source_url,raw_file_path,needs_review
AfterBoards CUET Business Studies PYQs linked file,2025,3 June,2,3 June Shift 2,69200ea9719ff4e0232d6d9a,38,"Identify the basic features of ""Management as an Art"".
(A) Universal Validity
(B) Existence of theoretical knowledge
(C) Based on creativity
(D) Personalised Application
Choose the correct answer from the options given below:",,,"(A), (B) and (D) only","(A), (B) and (C) only","(A), (B), (C) and (D)","(B), (C) and (D) only",D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IV,Planning,limitations,creativity,Planning :: limitations,0.39,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-20,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_cebc36353d9805c0.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,3 June,2,3 June Shift 2,69200ea9719ff4e0232d6d9e,39,"Since planning is an activity, there are certain logical steps for every manager to follow. Identify the correct sequence from the options given below:

<ol type='A'>
<li>Selecting an alternative: This is the real point of decision-making.</li>
<li>Evaluating alternative courses: The next step is to weigh the pros and cons of each alternative. The best plan has to be adopted and implemented.</li>
<li>Follow-up action: Monitoring the plans is equally important to ensure that objectives are achieved.</li>
<li>Implement the plan: This is concerned with putting the plan into action.</li>
</ol>

Choose the correct answer from the options given below:",,,"(A), (B), (C), (D)","(A), (C), (B), (D)","(B), (A), (D), (C)","(C), (B), (D), (A)",C,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit IV,Planning,planning process,"selecting an alternative, follow up",Planning :: planning process,0.72,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-20,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_cebc36353d9805c0.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,3 June,2,3 June Shift 2,69200ea9719ff4e0232d6da2,40,Procedures are steps to be carried out within a broad ________ framework.,,,Policy,Strategy,Budgetary,Regulatory,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IV,Planning,types of plans,"strategy, policy, procedure, budget",Planning :: types of plans,0.81,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-20,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_cebc36353d9805c0.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,3 June,2,3 June Shift 2,69200ea9719ff4e0232d6da6,41,"""Adarsh is of the viewpoint that directing techniques must help every individual in the organisation to contribute to his maximum for achievement of organisational objectives"". Which of the following guiding principles of directing has been highlighted in the aforesaid statement?",$32,$32,Principle of maximum individual contribution,Principle of harmony of objectives,Principle of unity of Command,Principle of appropriateness of direction technique,A,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit I,Nature and Significance of Management,meaning and objectives,"objectives, organisational objectives",Nature and Significance of Management :: meaning and objectives,0.64,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-20,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_cebc36353d9805c0.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,3 June,2,3 June Shift 2,69200ea9719ff4e0232d6daa,42,"""Adarsh tried to maintain effective managerial contact across all the levels in the organisation, making direction effective. He conveyed clear instructions to create total understanding to subordinates"". Which of the following guiding principles of directing has been highlighted in the aforesaid statement?",$33,$33,Principle of harmony of objectives,Principle of unity of command,Principle of managerial communication,Principle of leadership,C,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit VII,Directing,meaning and importance,"directing, leadership, communication",Directing :: meaning and importance,0.73,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-20,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_cebc36353d9805c0.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,3 June,2,3 June Shift 2,69200ea9719ff4e0232d6dae,43,"""Adarsh holds a convincing thought that employee rewards and work efficiency are complimentary to each other"". Which of the following guiding principles of directing has been highlighted in the aforesaid statement?",$34,$34,Principle of harmony of objectives,Principle of leadership,Principle of maximum individual contribution,Principle of unity of command,A,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit VII,Directing,leadership,"leadership, leader",Directing :: leadership,0.61,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-20,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_cebc36353d9805c0.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,3 June,2,3 June Shift 2,69200ea9719ff4e0232d6db2,44,"""Adarsh ensured that every person in his organisation should receive instructions from one superior only"". Which of the following guiding principles of directing has been highlighted in the aforesaid statement?",$35,$35,Principle of harmony of objectives,Principle of unity of command,Principle of appropriateness of direction technique,Principle of managerial communication,B,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit VII,Directing,meaning and importance,"directing, communication",Directing :: meaning and importance,0.59,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-20,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_cebc36353d9805c0.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,3 June,2,3 June Shift 2,69200eaa719ff4e0232d6dba,45,"""Adarsh ensured that proper motivational and leadership techniques should be used while directing the people based on subordinate needs, capabilities, attitudes and other situational variables"". Which of the following guiding principles of directing has been highlighted in the aforesaid statement?",$36,$36,Follow Through,Use of informal organization,Principle of appropriateness of direction technique,Principle of managerial communication,C,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit VII,Directing,meaning and importance,"directing, motivation, leadership, communication",Directing :: meaning and importance,0.82,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-20,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_cebc36353d9805c0.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,3 June,2,3 June Shift 2,69200eaa719ff4e0232d6dbe,46,"""The company is willing to go for a public issue of shares and debentures to be made under SEBI guidelines"". Identify the factor affecting capital structure highlighted in the aforesaid statement.",$37,$37,Risk Consideration,Regulatory Framework,Stock Market Conditions,Capital Structure of other Companies,B,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit IX,Business Finance,financing decision,capital structure,Business Finance :: financing decision,0.47,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-20,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_cebc36353d9805c0.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,3 June,2,3 June Shift 2,69200eaa719ff4e0232d6dc2,47,"""Finance Manager Prabhu prepared a financial blueprint for the organization's future operations to estimate the amount of funds required and the timings with the objective to ensure that enough funds are available at the right time"". Identify the concept of financial management highlighted in the aforesaid statement.",$38,$38,Financial Planning,Finance Management,Capital Structure,Financial leverage,A,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit IX,Business Finance,financing decision,capital structure,Business Finance :: financing decision,0.51,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-20,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_cebc36353d9805c0.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,3 June,2,3 June Shift 2,69200eaa719ff4e0232d6dc6,48,"""Public issue of shares and debentures requires considerable outlay of funds at the time of issue too"". Identify the factor affecting capital structure highlighted in the aforesaid statement.",$39,$39,Risk Consideration,Cost of Equity,Floatation Costs,Cost of debt,C,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit IX,Business Finance,financing decision,"capital structure, debt, equity",Business Finance :: financing decision,0.78,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-20,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_cebc36353d9805c0.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,3 June,2,3 June Shift 2,69200eaa719ff4e0232d6dca,49,"""Due to extensive operations, the manager is of the viewpoint that a company may have to ensure that earnings before interest and taxes of a company should cover the interest obligation"". Identify the factor affecting capital structure highlighted in the aforesaid statement.",$3a,$3a,Cash Flow Position,Interest Coverage Ratio,Debt Service Coverage Ratio,Tax rate,B,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit IX,Business Finance,financing decision,"capital structure, debt",Business Finance :: financing decision,0.63,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-20,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_cebc36353d9805c0.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,3 June,2,3 June Shift 2,69200eaa719ff4e0232d6dce,50,Which financial ratio will establish the relation between the cash profits generated by the operations and the total cash required for the service of the debentures and the preference share capital?,$3b,$3b,Interest Coverage Ratio,Debt Service Coverage Ratio,Return on Investment,Return on Equity,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,financing decision,"debt, equity",Business Finance :: financing decision,0.66,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-20,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_cebc36353d9805c0.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067b0,1,"Match List I with List II

| LIST I | | LIST II |
|---|---|---|
| A. District Commission | I. | One crore to Ten crore rupees |
| B. State Commission | II. | Appeal against National Commission in matter of its original jurisdiction. |
| C. National Commission | III. | Upto one crore rupees |
| D. Supreme Court | IV. | Exceeds Ten crore rupees |

Choose the correct answer from the options given below:",,,"A-I, B-II, C-III, D-IV","A-IV, B-III, C-II, D-I","A-III, B-I, C-IV, D-II","A-III, B-I, C-II, D-IV",C,AfterBoards CUET Business Studies PYQs linked file,match-the-following,medium,Unit XI,Consumer Protection,legal redressal,"district commission, state commission, national commission",Consumer Protection :: legal redressal,0.76,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067b2,2,"Match List I with List II

| LIST I | | LIST II |
|---|---|---|
| A. Regulatory Function of SEBI | I. | Levying fee or other charges |
| B. Development Function of SEBI | II. | Training of intermediaries |
| C. Protective Function of SEBI | III. | Controlling insider training |
| D. Objective of SEBI | IV. | Regulate stock exchanges |

Choose the correct answer from the options given below:",,,"A-I, B-II, C-IV, D-III","A-I, B-II, C-III, D-IV","A-III, B-II, C-IV, D-I","A-III, B-I, C-II, D-IV",B,AfterBoards CUET Business Studies PYQs linked file,match-the-following,medium,Unit VI,Staffing,training and development,"training, development",Staffing :: training and development,0.59,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067b4,3,"Match List I with List II

| LIST I | | LIST II |
|---|---|---|
| A. Advertising Expenditure | I. | Human Resource Management |
| B. Quality | II. | Finance and Accounting |
| C. Labour Turnover | III. | Marketing |
| D. Liquidity | IV. | Production |

Choose the correct answer from the options given below:",,,"A-III, B-IV, C-II, D-I","A-III, B-IV, C-I, D-II","A-IV, B-III, C-II, D-I","A-IV, B-III, C-I, D-II",B,AfterBoards CUET Business Studies PYQs linked file,match-the-following,medium,Unit X,Marketing,marketing meaning,"marketing, market",Marketing :: marketing meaning,0.65,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067b6,4,Identify the Non Financial Incentive that give more autonomy and powers to subordinates,,,Employee participation,Employee Empowerment,Organisational climate,Co-partnership,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VII,Directing,motivation,incentive,Directing :: motivation,0.44,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067b8,5,"""Dependence on technological gadgets is comparatively higher in America than in India"". Which feature of business environment is highlighted by the statement?",,,Relativity,Uncertainity,Complexity,Dynamic,A,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit III,Business Environment,meaning and features,"business environment, dynamic, complexity",Business Environment :: meaning and features,0.76,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067ba,6,Social Environment includes:,,,Consumption habits and life expectancies,Money supply in the economy,Rate of savings,New ways of producing goods,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit III,Business Environment,dimensions,social environment,Business Environment :: dimensions,0.56,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067bc,7,"Identify the specific forces of Business Environment from following

A. Investors
B. Customers
C. Social
D. Political
E. Competitors

Choose the correct answer from the options given below:",,,"A, B, C and D only","A, B and E only",C and D only,"C, D and E only",B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit III,Business Environment,meaning and features,"business environment, specific forces",Business Environment :: meaning and features,0.69,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067be,8,Which element of Marketing Mix refers to activities that make firm's product available to the target customers?,,,Promotion,Place,Price,Product,B,AfterBoards CUET Business Studies PYQs linked file,definition,easy,Unit X,Marketing,marketing mix,"marketing mix, product, price, place, promotion",Marketing :: marketing mix,0.89,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067c0,9,Process which provides for learning opportunities that helps employee growth is-,,,Education,Development,Training,Education and Training,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VI,Staffing,training and development,"training, development",Staffing :: training and development,0.59,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067c2,10,Staffing is the part of which functional area of Management ?,,,Marketing Management,Human Resource Management,Production Management,Financial Management,B,AfterBoards CUET Business Studies PYQs linked file,application,easy,Unit X,Marketing,marketing meaning,"marketing, market, marketing management",Marketing :: marketing meaning,0.75,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067c4,11,Identify the market that is known as Stock Exchange,,,Secondary Market,Money Market,Capital Market,Primary Market,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit X,Marketing,marketing meaning,market,Marketing :: marketing meaning,0.38,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067c6,12,"Arrange the steps of Controlling process in a logical sequence.

A. Measurement of Actual performance
B. Setting performance standards
C. Taking Corrective action
D. Comparison of actual performance with standards
E. Analysing deviations

Choose the correct answer from the options given below:",,,"B, A, D, E, C","C, D, A, B, E","A, B, C, D, E","C, E, D, B, A",A,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit VIII,Controlling,meaning and importance,"controlling, standards, deviation, corrective action",Controlling :: meaning and importance,0.83,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067c8,13,"""The principles of management are not rigid prescriptions, these can be modified by the manager when the situation so demands.""
What nature of principles of management has been indicated in above statement?",,,General guidelines,Flexible,Contingent,Mainly behavioural,B,AfterBoards CUET Business Studies PYQs linked file,statement-based,medium,Unit II,Principles of Management,nature of principles,"principles of management, general guidelines, flexible, contingent, behavioural",Principles of Management :: nature of principles,0.91,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067ca,14,Planning is an intellectual process that requires logic rather than wishful thinking. Which feature of planning is highlighted by the statement?,,,Futuristic,Continuous,Mental exercise,Pervasive,C,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit IV,Planning,meaning and features,"planning, intellectual process, pervasive",Planning :: meaning and features,0.75,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067cc,15,"As per Consumer Protection Act, 2019, State commission has a jurisdiction to entertain complaints where value of goods and services paid as consideration:-",,,Does not exceed one crore but more than 20 lakh rupees,Exceeds one crore but does not exceed ten crore rupees,Exceeds five crore but does not exceed ten crore rupees,Exceeds four crore but does not exceed five crores rupees,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit XI,Consumer Protection,legal redressal,"consumer protection act, state commission",Consumer Protection :: legal redressal,0.72,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067ce,16,Which technique of Scientific Management violates Fayol's principle of Equity?,,,Standardization of work,Motion Study,Differential Piece wage System,Mental Revolution,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit II,Principles of Management,techniques of scientific management,"motion study, differential piece wage",Principles of Management :: techniques of scientific management,0.72,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067d0,17,"Arrange the Channels of Distribution in order for a consumer product

A. Consumer
B. Retailer
C. Wholesaler
D. Producer

Choose the correct answer from the option given below:",,,"A, B, C, D","D, C, B, A","C, A, B, D","A, D, C, B",B,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit X,Marketing,channels of distribution,"wholesaler, retailer",Marketing :: channels of distribution,0.63,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067d2,18,"Identify for the following under whose overall administrative control, SEBI functions",,,"Ministry of Corporate Affairs, GOI","Ministry of Home Affairs, GOI","Ministry of Finance, GOI","Ministry of External Affairs, GOI",C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,fixed capital,,Business Finance :: fixed capital,0.15,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,yes
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067d4,19,A company has replaced their obsolete machinery with a Hi-Tech machine as it could not achieve its target in the previous month due to slow production process. Which step in the process of controlling is executed by the company?,,,Measurement of actual performance,Comparing actual performance with standards,Analysing deviations,Taking Corrective action,D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VIII,Controlling,meaning and importance,"controlling, standards, deviation, corrective action",Controlling :: meaning and importance,0.83,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067d6,20,"Match List I with List II

| LIST I | | LIST II |
|---|---|---|
| A. Convenience products | I. | Consumed in one or few uses |
| B. Shopping products | II. | Brand loyality of the highest order |
| C. Speciality products | III. | Purchased frequently |
| D. Non durable products | IV. | Buyers devote considerable time |

Choose the correct answer from the options given below:",,,"A-III, B-IV, C-II, D-I","A-III, B-II, C-IV, D-I","A-IV, B-III, C-II, D-I","A-I, B-II, C-III, D-IV",A,AfterBoards CUET Business Studies PYQs linked file,match-the-following,medium,Unit X,Marketing,product,product,Marketing :: product,0.43,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067d8,21,Which quality of a leader requires that he should understand people and maintain good human relations with them,,,Initiative,Communication skills,Integrity,Social Skills,D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VII,Directing,communication,communication,Directing :: communication,0.43,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067da,22,"Arrange the following functions of Management

A. Staffing
B. Planning
C. Organizing
D. Controlling
E. Directing

Choose the correct answer from the options given below:",,,A-B-C-D-E,B-C-A-E-D,C-B-A-D-E,B-C-A-D-E,B,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit I,Nature and Significance of Management,functions of management,"planning, staffing, directing, controlling",Nature and Significance of Management :: functions of management,0.82,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067dc,23,"Match List I with List II

| LIST I | | LIST II |
|---|---|---|
| A. Treasury Bill | I. | Mobilise large amount of money |
| B. Commercial paper | II. | Maturity period of one day to fifteen days |
| C. Call money | III. | Maturity period of 15 days to one year |
| D. Certificate of Deposit | IV. | Issued by RBI |

Choose the correct answer from the options given below:",,,"A-III, B-I, C-II, D-IV","A-II, B-III, C-IV, D-I","A-IV, B-III, C-II, D-I","A-IV, B-III, C-I, D-II",C,AfterBoards CUET Business Studies PYQs linked file,match-the-following,medium,Unit XI,Consumer Protection,consumer rights,,Consumer Protection :: consumer rights,0.25,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,yes
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067de,24,Which Marketing Management philosophy has main focus on existing product?,,,Selling concept,Production concept,Product concept,Marketing concept,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit X,Marketing,marketing management philosophies,"production concept, product concept, selling concept, marketing concept",Marketing :: marketing management philosophies,0.87,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec4f5da296ef51f067e0,25,"Which of the following are the features of leadership

A. It tries to bring change in the behaviour of a person
B. It is an internal feeling
C. It indicates interpersonal relationship between leaders and followers
D. It is a continuous process

Choose the correct answer from the options given below:",,,"A, C and D only",A and C only,"A, B and D only",C and D only,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit I,Nature and Significance of Management,features of management,"features, continuous process",Nature and Significance of Management :: features of management,0.59,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec505da296ef51f067e2,26,The primary aim of financial management is :-,,,Maximise profit of firm,Maximise sales of firm,Maximise shareholders' wealth,Maximise number of customer of firm,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,financial management,financial management,Business Finance :: financial management,0.50,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec505da296ef51f067e4,27,"Salary is not a primary economic reward for an entrepreneur

A. A 'never say die' attitude of an entrepreneur is termed as self-confidence.
B. Acting out of choice rather than compulsion is initiative
C. Entrepreneur's concern for conservation of time and money is termed as 'assertiveness'
D. Executive summary and operation strategies are included in Business Plan

Choose the correct answer from the option given below:",,,"A, C, E only","A, B, E only","A, D, E only","A, B, C only",C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit XII,Entrepreneurship Development,need and characteristics,"initiative, confidence",Entrepreneurship Development :: need and characteristics,0.58,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
AfterBoards CUET Business Studies PYQs linked file,2023,29 May,2,29 May Shift 2,69e9ec505da296ef51f067e6,28,Planning is pervasive because:-,,,It is required in setting special goals,It is required at all levels of management,It is forward looking and backward looking,It lays down the base for other functions of management,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VIII,Controlling,relationship with planning,"forward looking, backward looking",Controlling :: relationship with planning,0.65,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_fcd58108fd3ba22d.html,no
