chapter,subtopic,micro_concept,question_count,weighted_score,recency_score,example_question
Directing,supervision,types of plans,1,0.65,0.65,"Q.50
Rahul is the CEO of BrightSpark Ltd., a company manufacturing LED
lighting solutions. The company recently launched a new line of smart LED
bulbs with advanced features, expecting a surge in demand. However, after

--- Page 14 ---
the launch, the sales were not meeting expectations, and employee morale
seemed low.
Firstly, Rahul identified that there was a lack of proper communication
between the marketing and production teams. He called a meeting to
clearly communicate the company’s goals and expectations for the new
product.
Rahul appointed Priya, a senior manager, to act as a supervisor for the
marketing team. Priya’s job was to oversee day-to-day activities, guide the
team, and resolve any conflicts. Her presence ensured that tasks were
completed on time and in alignment with the company’s objectives. She
also provided feedback and recognized the efforts of team members, which
boosted their morale.
Rahul implemented a reward system where employees exceeding their
targets would receive incentives. Additionally, training sessions were
organized to improve employees’ skills and confidence in handling the
advanced features of the new product.
""Priya's job was to oversee day-to-day activities, guide the team, and
resolve any conflicts."" Which element of directing is highlighted in these
lines?"
Entrepreneurship,Entrepreneurial Competencies,entrepreneur characteristics,1,0.65,0.65,"""Not being afraid of the risks associated with business and relying on one's capabilities to successfully manage these"".
Identify the entrepreneurial competency highlighted in the aforesaid statement."
Entrepreneurship,Motivation for Entrepreneurship,entrepreneurship,1,0.65,0.65,Identify the internal factor that motivates a person to become an entrepreneur.
Entrepreneurship Development,competencies and values,promotion mix,1,0.65,0.65,The objections to advertising do not include:
Entrepreneurship Development,concept and functions,activity,1,0.65,0.65,"""Entrepreneurship is not a mysterious gift or charm and something that happens by chance! It is step by step and a purposeful activity"". Identify the characteristic of entrepreneurship highlighted in the aforesaid statement."
Entrepreneurship Development,concept and functions,entrepreneur,1,0.65,0.39,"The person who combines all factors of production, who takes risk to earn profit is called entrepreneur. Entrepreneur is _______."
Entrepreneurship Development,concept and functions,entrepreneurs,1,0.65,0.2925,Which of the following is the correct option relating to Entrepreneurship ?
Entrepreneurship Development,concept and functions,return,1,0.65,0.65,"Q.29
There are two projects, A and B (with the same risk involved), with a rate of
return of 10 percent and X percent, respectively, if under normal
circumstances, project B is selected. What could be the rate of return of
Project B?"
Entrepreneurship Development,concept and functions,types of plans,1,0.65,0.65,Which of the following is not a characteristic of entrepreneurship?
Entrepreneurship Development,entrepreneurship in India,aspect,1,0.65,0.39,"What are the aspects of feasibility analysis under Entrepreneurship Development ?

A. Technical Aspect
B. Economic Aspect
C. Financial Aspect
D. Commercial Aspect
E. Political Aspect

Choose the correct answer from the options given below :"
Entrepreneurship Development,entrepreneurship in India,knowledge,1,0.65,0.2925,"In Entrepreneurship, KASH stands for :"
Entrepreneurship Development,functions of an entrepreneur,entrepreneur,1,0.65,0.65,"Which of the following is not the function of an entrepreneur?

<ol>
<li>Impact on local communities</li>
<li>Decrease the spectrum of economic activities</li>
<li>Generation of employment</li>
<li>Improvement in economic efficiency</li>
</ol>"
Entrepreneurship Development,need and characteristics,achievement,1,0.65,0.65,"The following are part of entrepreneurial motivation, except:

1. Need for Achievement (N-Ach.)
2. Need for Power (N-Pow)
3. Need for Affiliation (N-Aff.)
4. Need for Profit (N-Pro)"
Entrepreneurship Development,need and characteristics,analysis,1,0.65,0.39,Identify the Concept used by Mr. Avinash when he analysed the need for number and type of workers required.
Entrepreneurship Development,need and characteristics,choose,1,0.65,0.39,"Choose correct sequence of first 5 steps of motivation process, which are given below.
(A) Drives
(B) Unsatisfied need
(C) Search behaviour
(D) Tension
(E) Satisfied need
Choose the correct answer from the options given below :"
Entrepreneurship Development,need and characteristics,price mix,1,0.65,0.2925,"Identify the correct sequence of factors affecting Price Determination from the following.
(a) Product cost
(b) Environmental factors
(c) The Utility and Demand
(d) Company Characteristics
(e) The Extent of competition in the market
Choose the most appropriate answer from the options given below :"
Entrepreneurship Development,need and characteristics,tension,1,0.65,0.65,"Arrange the steps of motivation process in the correct sequence.

(A) Drives & Search Behavior

(B) Satisfied Need & Reduction of Tension

(C) Unsatisfied Need

(D) Tension

Choose the correct answer from the options given below:"
Entrepreneurship Development,process,entrepreneur characteristics,1,0.65,0.65,"_______ may be described as an attractive economic idea which could be implemented to create a business, earn profits and ensure further growth."
Entrepreneurship Development,process,financial risk,1,0.65,0.2925,"SEBI is an interim administrative body to promote orderly and healthy growth of securities market

Find out the correct statements about SEBI

A. SEBI was established on 12 April 1988 as an administrative body to promote orderly growth of stock market
B. The act of Parliament that governs SEBI is SEBI Act, 1994
C. The basic purpose of SEBI is to form new enterprises
D. SEBI doesn't protect the rights and interest of investors
E. SEBI is a separate regulatory body

Choose the correct answer from the option given below:"
Entrepreneurship Development,process,recruitment,1,0.65,0.65,"The term ""Recruitment"" in the case study implies:"
Financial Management,Current Assets,financial,1,0.65,0.65,Identify the asset which can be easily converted into cash.
Financial Management,Leverage Ratios,financial risk,1,0.65,0.65,The formula to compute the Interest Coverage ratio is:
Financial Management,Profitability Ratios,financial risk,1,0.65,0.65,What is the full form of EBIT?
Financial Markets,Capital and Financial Markets,market,1,0.65,0.52,The market where existing securities are bought and sold is known as _______.
Financial Markets,Trading and Settlement Procedures,types of plans,1,0.65,0.52,Identify the correct sequence of trading & settlement procedure:
Functions of Management,Staffing,staffing,1,0.65,0.65,"Which of the following is concerned with obtaining, utilizing and maintaining a satisfactory and satisfied work force?"
Marketing,Classification of Products,products,1,0.65,0.65,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Categories of products | Examples |
| (A) Industrial products | (I) Rare collection of artwork and antiques. |
| (B) Convenience products | (II) Raw materials, installations, equipment. |
| (C) Speciality products | (III) Jewelry, radio, furniture. |
| (D) Shopping products | (IV) Medicines, newspapers, toothpaste. |

Choose the correct answer from the options given below:"
Marketing,Classification of products,products,1,0.65,0.65,"Match List-I with List-II

| List-I<br>(Examples) | List-II<br>(Types of products) |
| --- | --- |
| (A) Ice cream, medicine, newspaper | (I) Industrial products |
| (B) Clothes, shoes, jewellery | (II) Shopping products |
| (C) Rare collection of artwork, antiques | (III) Specialty products |
| (D) Raw materials, machines, tools | (IV) Convenience products |

Choose the correct answer from the options given below:"
Marketing,Pricing,price mix,1,0.65,0.65,"""The company charges low prices compared to their competitors in the market. This is done by the company to capture market share."" Identify the pricing objective adopted by the company in the aforesaid statement."
Marketing,Promotion Mix,recruitment,1,0.65,0.65,What promotional tool was extensively used?
Marketing,competition and response strategies,promotion mix,1,0.65,0.65,"If an Indian firm finds that a foreign multinational is entering the Indian market with new substitutes, it can prepare itself to meet the threat by adopting which of the following measures:

(A) Improving the quality of the products
(B) Reducing cost of production
(C) Engaging in aggressive advertising and making false claims
(D) Upgrading technology

Choose the correct answer from the options given below:"
Marketing,marketing management philosophies,focus,1,0.65,0.39,"Which of the following statements are correct regarding marketing management philosophies ?
(A) The main focus of Product concept is quantity of product
(B) The main focus of production concept is quality of product
(C) The main focus of selling concept is existing product
(D) The main focus of marketing concept is customer needs
(E) The main focus of societal concept is customer needs and society's well being
Choose the correct answer from the options given below :"
Marketing,marketing management philosophies,management,1,0.65,0.65,"Q.7
""In company Ace Ltd, if the plans lay down a 2 percent increase in labor
cost as an acceptable range of deviation, only an increase in labor cost
beyond 2 percent should be brought to the notice of the management.
However, in case of major deviation from the standard (say, 5 percent), the
matter has to receive immediate action from management on a priority
basis"". Identify the concept of management highlighted in the aforesaid
statement."
Marketing,marketing meaning,maslow hierarchy,1,0.65,0.2925,"Arpit was working in an IT firm for the last 5 years. His job was confirmed. He was medically insured by his firm and was promoted recently to the position of Senior Marketing Manager. Arpit was happy on one hand and had the feeling of self-fulfillment, but on the other hand, he did not have good cordial relations with his colleagues. Which need of Arpit remains unfulfilled?"
Marketing,marketing meaning,price mix,1,0.65,0.65,"Which of the following refers to a complete offer for a product or service, having given features like size, quality, taste, etc; at a certain price; available at a given outlet or location and so on?"
Marketing,marketing meaning,training,1,0.65,0.2925,"Which of the following statement is/are correct regarding function of Stock Exchange?

A. Providing liquidity and market ability to existing securities.
B. Training of intermediaries.
C. Undertaking steps of investor protection.
D. Promotion of fair practices and code of conduct in securities market.
E. Regulation of takeover bids by companies.

Choose the correct answer from the options given below:"
Marketing,marketing meaning,types of plans,1,0.65,0.65,"Which of the following are the features of marketing? 

(A) The process of discovering and translating consumer needs into products and service. 

(B) A system that creates value in goods through the creation of form, place, time and ownership utilities. 

(C) Setting of objectives and appropriate course of action to achieve the organizational goals. 

(D) Presuming that demand for the product being produced already exists. 

Choose the correct answer from the options given below:"
Marketing,marketing mix,equity,1,0.65,0.39,"""People and materials must be in suitable places at appropriate time for maximum effeciency.""

Application of this principle will lead to:"
Marketing,marketing mix,place/channel,1,0.65,0.65,"SubQuestion No : 47
""The company must focus on adopting a three-level channel of distribution"". Identify the marketing mix discussed here."
Marketing,marketing mix,recruitment,1,0.65,0.65,"""The company employs digital marketing through social media campaigns, influencer partnerships, and online advertisements"". Identify the marketing mix highlighted in the aforesaid statement."
Marketing,marketing mix,selection,1,0.65,0.65,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Marketing mix component | Meaning |
| --- | --- |
| (A) Price | (I) Decisions related to features, quality, packaging etc. |
| (B) Place | (II) Activities that communicate features of a product to target customer. |
| (C) Product | (III) Decisions related to discounts to customers, traders etc. |
| (D) Promotion | (IV) Decisions related to selection of dealers or intermediaries etc. |

Choose the correct answer from the options given below:"
Marketing,marketing vs selling,marketing,1,0.65,0.65,What violation was the store found guilty of?
Marketing,marketing vs selling,types of plans,1,0.65,0.2925,"Select the correct sequence of first five steps involved in the Trading and Settlement Procedure of Stock Exchange :
(A) Matching the share and best price available by broker
(B) Approach to a registered broker
(C) Open a Demat Account
(D) Issuance of a trade confirmation slip by broker to the investor
(E) Place an order of buying or selling with the broker
Choose the correct answer from the options given below :"
Marketing,pricing,equity,1,0.65,0.2925,"From the following identify the functions of stock exchange which facilitate the spread of coducive climate for share ownership.

A. Regulation of takeover bids by Companies
B. Pricing of Securities
C. Safety of Transactions
D. Training of intermediaries of the securities market
E. Spreading of equity cult"
Marketing,product,https,1,0.65,0.2925,"Match the items of List - I with the correct items of List - II.

<table>
 <thead>
 <tr>
 <th>List - I (Marks)</th>
 <th>List - II (Name)</th>
 </tr>
 </thead>
 <tbody>
 <tr>
 <td>(a) <img src=""https://balti.afterboards.in/Kh6APxuTjqsQ2lw"" alt=""ISI mark logo"" width=""50""></td>
 <td>(i) Food Process Order</td>
 </tr>
 <tr>
 <td>(b) <img src=""https://balti.afterboards.in/hETsHf9U8DF8sl3"" alt=""FPO mark logo"" width=""50""></td>
 <td>(ii) Electrical Goods</td>
 </tr>
 <tr>
 <td>(c) <img src=""https://balti.afterboards.in/mHZDjxf7vAk5fIC"" alt=""Eco-Mark logo"" width=""50""></td>
 <td>(iii) Eco-Mark</td>
 </tr>
 <tr>
 <td>(d) <img src=""https://balti.afterboards.in/bigrdJRCROTuAlG"" alt=""BIS Hallmark logo"" width=""50""></td>
 <td>(iv) BIS Hallmark</td>
 </tr>
 </tbody>
</table>"
Marketing,product,marketing mix,1,0.65,0.65,"Q.40
List-I
List-II (Explanation)
Four Ps
of
marketin
g"
Marketing,product,order,1,0.65,0.2925,Which of the following correctly describes FPO as a quality certification mark?
Marketing,product,products,1,0.65,0.39,"Match List I with List II

| LIST I | | LIST II |
|---|---|---|
| A. Convenience products | I. | Consumed in one or few uses |
| B. Shopping products | II. | Brand loyality of the highest order |
| C. Speciality products | III. | Purchased frequently |
| D. Non durable products | IV. | Buyers devote considerable time |

Choose the correct answer from the options given below:"
Marketing,product,should,1,0.65,0.65,"Identify from the options given below, the correct characteristic of a good brand name."
Marketing,promotion,public,1,0.65,0.2925,"In the world of Financial market, IPO stand for :"
Marketing,promotion,recruitment,1,0.65,0.2925,Which one of the following is not true about objections to advertising?
Marketing,promotion,selection,1,0.65,0.39,_______ refers to vertical shifting of employees in an organisation
Marketing,promotion,types of plans,1,0.65,0.65,Which of the following statement is not correct for Public Relations?
Marketing Management,Brand Management,product mix,1,0.65,0.65,What is Aroma Coffee House's primary branding focus?
Nature and Scope of Business,Profession,profession,1,0.65,0.65,"Identify from the options given below, which is not the basic feature of a profession."
Nature and Significance of Management,Organizational Structure and Communication Networks,superior,1,0.65,0.65,Which of the following network allows a subordinate to communicate with his superior and his superior's superior?
Nature and Significance of Management,coordination,delegation,1,0.65,0.65,"Which of the following are the importance of delegation?

(A) Effective management

(B) Better coordination

(C) Motivation of employees

(D) Integrate employee-efforts

Choose the <b>correct</b> answer from the options given below:"
Nature and Significance of Management,coordination,financial risk,1,0.65,0.52,Coordination unifies unrelated interests into purposeful work activity.' Identify the nature of coordination.
Nature and Significance of Management,coordination,leadership style,1,0.65,0.65,Which of the following is termed as the 'Essence of Management'?
Nature and Significance of Management,coordination,training,1,0.65,0.65,"The following are the points of need for training, except:"
Nature and Significance of Management,decentralization,management,1,0.65,0.65,"Which of the following are the advantages of decentralization?
(A) It facilitates quick decisions and improves the quality of the decisions.
(B) It provides actual work experience to a large number of middle and lower managers.
(C) It ensures strict control at all levels.
(D) Provides relief to top management.
Choose the correct answer from the options given below:"
Nature and Significance of Management,dimensions of management,management,1,0.65,0.65,"Management is a complex and multi dimensional activity that has three main dimensions. Identify, from the options given below, which is NOT included in the three dimensions."
Nature and Significance of Management,features of management,delegation,1,0.65,0.65,"Q.23
Identify the management function focusing on assigning duties, grouping
tasks, establishing authority and allocating resources required to carry out"
Nature and Significance of Management,features of management,leadership style,1,0.65,0.39,"Which of the following are the features of leadership

A. It tries to bring change in the behaviour of a person
B. It is an internal feeling
C. It indicates interpersonal relationship between leaders and followers
D. It is a continuous process

Choose the correct answer from the options given below:"
Nature and Significance of Management,features of management as an art,entrepreneur characteristics,1,0.65,0.65,Which of the following is not a feature of management as an art?
Nature and Significance of Management,functions of management,functions,1,0.65,0.52,"Identify the function performed by SEBI: 'It controls insider trading, takeover bids and imposes penalties for such practices.'"
Nature and Significance of Management,functions of management,leadership style,1,0.65,0.2925,Name the element of one of the functions of management being discussed in the above case :
Nature and Significance of Management,functions of management,planning,1,0.65,0.65,"Identify the correct order of functions of management.

1. Planning-Organising-Controlling-Directing-Staffing
2. Organising-Planning-Controlling-Representing-Innovating
3. Planning-Organising-Staffing-Directing-Controlling
4. Planning-Staffing-Controlling-Organising-Directing"
Nature and Significance of Management,functions of management,selection,1,0.65,0.2925,"""Every employee is required to undergo training, their jobs are well defined and regular feedbacks are provided so that their long term interest is also served"".

Above statement describes a step involved in one of the functions of management. Identify the step."
Nature and Significance of Management,functions of management,should,1,0.65,0.65,"Through ______ managers not only tell the people in the organisation as to what they should do, when they should do and how they should do but also see that their instructions are implemented in proper perspective."
Nature and Significance of Management,functions of management,training,1,0.65,0.65,"""Since it is a small business, she performs all the functions of business management herself"". Identify the functions of management performed by Shilpa in the above case."
Nature and Significance of Management,importance of management,resources,1,0.65,0.65,Efficiency is increased when for the same benefit or outputs _________.
Nature and Significance of Management,levels of management,centralisation/decentralisation,1,0.65,0.65,The tendency to withhold a larger proportion of formal authority at higher levels of the management hierarchy is called:
Nature and Significance of Management,levels of management,entrepreneur characteristics,1,0.65,0.2925,"From the following, identify which one is not the feature of 'Management as an Art'."
Nature and Significance of Management,levels of management,financial risk,1,0.65,0.39,Which of the following is incorrect about management as a profession ?
Nature and Significance of Management,levels of management,number,1,0.65,0.65,"Span of management refers to:
<ol>
<li>Number of subordinates at lower level</li>
<li>Total number of managers</li>
<li>Number of subordinates under a superior</li>
<li>Number of levels in the organisation</li>
</ol>"
Nature and Significance of Management,levels of management,product mix,1,0.65,0.2925,"Name the various levels of packaging used by 'Health and Life Ltd.' as mentioned in the case study.
(a) Primary Package
(b) Secondary Package
(c) Tertiary Package
(d) Transportation Package
(e) Fancy Package
Choose the most appropriate answer from the options given below :"
Nature and Significance of Management,social objective,types of plans,1,0.65,0.65,"""She is always involved in helping poor women of the area by providing them with jobs after imparting necessary skills"". Which objective of management is reflected in this statement?"
Nature and Significance of Management,types of business tests,tests,1,0.65,0.65,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| (A) Trade Tests | (I) Measure the existing skills of the individual. |
| (B) Intelligence Tests | (II) Provide indications about a person's emotions, reactions and maturity level. |
| (C) Personality Tests | (III) Measure individuals' ability to make decisions and judgments. |
| (D) Aptitude Tests | (IV) Measure individuals' potential for learning new skills. |

Choose the correct answer from the options given below:"
Organising,delegation,types of plans,1,0.65,0.65,"Which of the following is the correct distinction between delegation and decentralization?
(A) Delegation is a result of the policy decision of top management, whereas decentralization is a process.
(B) Delegation is a process, whereas decentralization results from the policy decisions of top management.
(C) Delegation is an optional decision and decentralization is compulsory.
(D) In delegation, there is more control by the superior, whereas in decentralization, there is less control over executives.

Choose the correct answer from the options given below:"
Organising,divisional structure,delegation,1,0.65,0.65,"Q.47
Passage 2: The Software Giant – Wipro Technology
On the basis of the following passage, answer the Q. No. 46 to Q. No. 50
It’s not quite there yet, but the goal is certainly within reach. One of India’s
largest IT solutions providers, Wipro Technologies, is taking on the likes of
IBM and Accenture in its effort to be included among the largest and most
successful technology services companies in the world. Restructuring
Wipro was considered the most important step in becoming a global giant,
driven by the goal towards improved customer orientation. During the past
few months, Wipro separated itself into several subsidiaries by product
line: telecommunications, engineering, financial services, etc. Each
subsidiary brings in about $300 million in annual earnings and is self-
sufficient with their own accounting books, personnel and administrative
functions. This policy of company reduces the workload as well as
enhances productivity because of the specific workers performing a
specific job on a regular basis. Such a practice at Wipro further resulted in
avoidance of duplication of work, helps in preventing confusion and
minimising the wastage of efforts. Wipro shifted from a centralised to
decentralised management system. All responsibilities for growth lay with
the management of each entity. “We tried to de-layer the organisation and
empower our business leaders with a much higher degree of growth
responsibility,” said Premji. This practice gives the employee requisite time
to explore areas for growth and the opportunity to innovate thereby
strengthening the company’s competitive position. The authority dispersal
develops in the subordinate the ability to deal effectively with challenges
and helps them to realise their full potential.
“Wipro separated itself into several subsidiaries by product line:
telecommunications, engineering, financial services, etc”. On the basis of
the aforesaid statement, identify the organizational structure which is best
suited for the company?"
Organising,importance,importance,1,0.65,0.65,"Which of the following are importance of organizing?
(A) Adaptation to change
(B) Clarity in working relationships
(C) Optimum utilization of resources
(D) Benefits of specialization

Choose the correct answer from the options given below:"
Organising,meaning and process,activities,1,0.65,0.65,"Arrange the following steps of organizing in a logical manner.

(A) Grouping similar activities

(B) Determining the key activities

(C) Assigning responsibilities

(D) Coordinating relationships

Choose the correct answer from the options given below:"
Organising,organisation structure,entrepreneur characteristics,1,0.65,0.65,"Arrange the following steps of organizing process in a logical manner.

(A) Dividing the work into manageable activities

(B) Allocating the work to the members of each department in accordance to their skills and competencies

(C) Creation of hierarchical structure and coordination among various departments

(D) Departments are created on the basis of several criteria such as: territory and products

Choose the correct answer from the options given below:"
Organising,organisation structure,organising,1,0.65,0.65,Organizational structure is the outcome of which process?
Organising,organisation structure,organization,1,0.65,0.65,"Divisional structure is suitable for which of the following business enterprises?

1. A large-sized organization requiring functional specialization.
2. Organisation has diversified activities where emphasis is placed on specific functions.
3. An organization where operations require a high degree of specialization
4. Organization producing a large variety of products using different productive resources"
Organising,organisation structure,recruitment,1,0.65,0.65,"Q.19
List-I
List-II
Staffing and its
aspects
Explanation"
Organising,organisation structure,staffing,1,0.65,0.2925,The organisation structure can be defined as the framework within which _______ and _______ tasks are performed.
Organising,organisation structure,training,1,0.65,0.2925,"Which of the following statements are true with respect to advantages of functional structure?

A. It leads to product specialization
B. It facilitates expansion and growth
C. It promotes control and coordination within a department
D. It promotes flexibility and initiatives
E. It makes training of the employees easier

Choose the correct answer from the options given below:"
Physical Distribution,Functions of Physical Distribution,product mix,1,0.65,0.65,Which of the following components are important activities involved in physical distribution?
Planning,Budgeting,types of plans,1,0.65,0.65,"Which of the following are important features of the 'Budget'?

(A) The budget is a single-use plan containing expected results in theoretical terms only.

(B) Budgets may be expressed in terms of time, materials or other suitable units capable of numerical expression.

(C) The budget is a plan which quantifies future facts and figures.

(D) The budget projects the expected revenues and expenses for a given period.

Choose the correct answer from the options given below:"
Planning,importance,delegation,1,0.65,0.2925,"Amrit Lala, MD of Awasthi Ltd, retired after 33 years of service. The responsibility was given to Amit. Amit realized that there was lot of rivalry, confusion and misunderstanding among departmental heads. He detected inefficiencies, took corrective action and developed a master plan for the organisation to follow. This served as basis for coordinating the activities of all the departments, led to clarity of thought and action and the work got a smooth start.
Identify the importance of planning highlighted in the above paragraph."
Planning,importance,entrepreneur characteristics,1,0.65,0.2925,"Which of the following statements are related to limitations of planning?

A. Planning leads to rigidity
B. Planning is futuristic
C. Planning reduces creativity
D. Planning does not guarantee success
E. Planning involves decision making

Choose the correct answer from the option given below:"
Planning,importance,goals,1,0.65,0.52,"If the goals are well defined, employees are aware of what the organisation has to do and what they must do to achieve those goals.' Identify the significance of managerial function highlighted in this statement."
Planning,importance,managerial,1,0.65,0.52,"Changes or events cannot be eliminated, but they can be anticipated and managerial responses to them can be developed.' Identify the significance of managerial function highlighted in this statement."
Planning,importance,reduces,1,0.65,0.52,Manager can look into the future and make a choice from amongst various alternative courses of action.' Identify the significance of managerial function highlighted in this statement.
Planning,importance,types of plans,1,0.65,0.52,"Policy formation serves as the basis of coordinating the activities and efforts of different divisions, departments and individuals. It helps in avoiding confusion and misunderstanding.' Identify the significance of managerial function highlighted in this statement."
Planning,limitations,financial risk,1,0.65,0.65,"""Following a pre-decided plan, when circumstances have changed, may not turn out to be in the organisations interest."" Identify the limitation of planning highlighted in the aforesaid statement."
Planning,limitations,types of plans,1,0.65,0.2925,Reena is working in a car manufacturing company. One day she approaches her supervisor to discuss a better procedure of manufacturing the car. But the superior informs her that he is helpless and cannot change the procedure as it is set by the higher level Management. Identify the limitation of planning highlighted here i.e. Planning :
Planning,meaning and features,function,1,0.65,0.65,"Q.16
List-I
List-II
Management Function Description"
Planning,meaning and features,types of plans,1,0.65,0.65,What was the primary objective behind Wipro's organizational restructuring?
Planning,planning process,entrepreneur characteristics,1,0.65,0.65,"Identify the correct statements in the context of the planning.

(A) Planning will be a futile exercise if it is not acted upon or implemented.
(B) Planning implies a process which coordinates human efforts and assembles resources.
(C) Planning is closely connected with creativity and innovation.
(D) Planning is what managers at all levels do.

Choose the correct answer from the options given below:"
Planning,planning process,financial risk,1,0.65,0.65,"Q.27
""Following a pre-decided plan, when circumstances have changed, may
not turn out to be in the organisations interest."" Identify the limitation of
planning highlighted in the aforesaid statement.

--- Page 7 ---"
Planning,planning process,leadership style,1,0.65,0.65,What was the result of the planning process?
Planning,planning process,price mix,1,0.65,0.65,"Arrange the following steps of the planning process adopted by XYZ Ltd. in the correct sequence.

(A) XYZ Ltd. has decided to increase their sales by 20% in the financial year 2025-26.
(B) After carefully considering the alternatives, they have decided to try selling their products through e-commerce websites.
(C) After registering with the e-commerce websites, the plan will become operational.
(D) XYZ Ltd. has identified three options: increase in price, use of social media influencers for promotion and selling through e-commerce websites.

Choose the correct answer from the options given below:"
Planning,planning process,selection,1,0.65,0.65,"Q.21
Arrange the following steps of Planning Process in a correct sequence."
Planning,types of plans,products,1,0.65,0.65,"Q.17
Match List-I with List-II
List-I (Types of
products)
List-II (Examples)"
Primary Market,Floatation Methods,types of plans,1,0.65,0.52,Identify the method of floatation in Primary Market wherein a company sells securities enbloc at an agreed price to a broker.
Principles of Management,Fayol principles,maslow hierarchy,1,0.65,0.65,Who is known as the father of general management?
Principles of Management,Principle of Authority and Responsibility,delegation,1,0.65,0.65,"Q.6
""A sales manager has to negotiate a deal with a buyer. She finds that if she
can offer a credit period of 60 days, she is likely to clinch the deal which is
supposed to fetch the company a net margin of say Rs. 50 crores. The
company entrusts her the task of clinching the deal but gives her power to
offer a credit period of only 40 days"". Identify the principle of management
violated in the aforesaid statement."
Principles of Management,Taylor scientific management,discipline,1,0.65,0.65,Taylor believed that contemporary management was amateurish and should be studied as a discipline. He is known for the coinage of the term âScientific Managementâ in his article âThe Principles of Scientific Managementâ published in the year ________.
Principles of Management,Taylor scientific management,division of work,1,0.65,0.65,"""According to Taylor, there should be an almost equal division of work and responsibility between workers and management. All day long, the management should work almost side by side with the workers helping, encouraging and smoothing the way for them"". Identify the principle of scientific management highlighted in the aforesaid statement."
Principles of Management,Taylor scientific management,scalar chain,1,0.65,0.65,"Which of the following concepts is not related to F W Taylor?
<ol>
<li>Scalar Chain</li>
<li>Harmony, not discord</li>
<li>Standardisation and simplification of work</li>
<li>Cooperation, not individualism</li>
</ol>"
Principles of Management,Taylor scientific management,unity of direction,1,0.65,0.2925,Name the principle of the management under which it is believed that there is only one best way to maximise efficiency and it can be developed through scientific study and analysis.
Principles of Management,Techniques of Scientific Management,scientific management,1,0.65,0.65,"In functional foremanship technique, who among the following works under the planning incharge:

(A) Instruction Card Clerk

(B) Inspector

(C) Disciplinarian

(D) Time and cost Clerk

Choose the correct answer from the options given below:"
Principles of Management,environmental scanning techniques,types of plans,1,0.65,0.65,Which of the following techniques is not used for environmental scanning?
Principles of Management,nature of principles,discipline,1,0.65,0.65,"""The principles of management provide the basic groundwork for the development of management as a discipline"".

This statement is related to which point of significance of principles of management?"
Principles of Management,nature of principles,management,1,0.65,0.2925,Which of the following is NOT true about 'management as a science'?
Principles of Management,nature of principles,nature,1,0.65,0.65,Which of the following statements is true regarding the nature of Principles of Management:
Principles of Management,nature of principles,training,1,0.65,0.65,"""Adherence to the principles of management adds to knowledge, ability and understanding of managerial situations and circumstances"".
Identify the point of importance of principles of management stated here."
Principles of Management,techniques of scientific management,delegation,1,0.65,0.39,"Identify the correct combinations of Principles of Management.

A. Division of work and motion study
B. Equity and scalar chain
C. Authority and Responsibility and Method Study
D. Discipline and Order
E. Initiative and Fatigue Study

Choose the correct answer from the options given below :"
Principles of Management,techniques of scientific management,division of work,1,0.65,0.65,"According to Taylor, is an extension of the principle of division of work and specialisation to the shop floor."
Production and Operations Management,Economies of Scale,production,1,0.65,0.65,"""Slowly the business is growing as the number of orders are increasing, and the production cost is declining."" Which of the following concept is causing the decrease in production cost here?"
Staffing,employee retention,types of plans,1,0.65,0.65,What is a major challenge for Infosys in its staffing strategy?
Staffing,meaning and importance,equity,1,0.65,0.2925,"Mention the principle of management which is not followed in the given lines.

""The spirit of teamwork, which had characterized the company, previously was beginning to take back seat."""
Staffing,meaning and importance,number,1,0.65,0.2925,Workload analysis would enable an assessment of the :
Staffing,meaning and importance,promotion mix,1,0.65,0.39,"Match List I with List II

| LIST I | | LIST II |
|---|---|---|
| A. Advertising Expenditure | I. | Human Resource Management |
| B. Quality | II. | Finance and Accounting |
| C. Labour Turnover | III. | Marketing |
| D. Liquidity | IV. | Production |

Choose the correct answer from the options given below:"
Staffing,meaning and importance,types of plans,1,0.65,0.65,Which of the following is not the benefits of proper staffing to the organization?
Staffing,recruitment,types of plans,1,0.65,0.2925,"Which of the following statements are incorrect in respect of merits of internal source of recruitment?

A. It helps in motivating employees which results in improving their performances
B. It provides a complete solution in filling vacancies in the organisations
C. It is a cheaper and time saving method of recruitment
D. It provides a solution of shifting workforce from the surplus departments to understaffed departments
E. It provides a wider choice

Choose the correct answer from the options given below:"
Staffing,selection,types of plans,1,0.65,0.2925,"When employees are appreciated for the work performed by them, they feel motivated to perform at higher level. Which incentive is being referred to?"
Staffing,training and development,scientific management,1,0.65,0.2925,Identify the principle of management from the above case study when each manager has to identify and send 3 workers for training.
